condition	wavelength	fluorescence	time	fluo_normalised
Control	530	2890	0	1
E.coli	530	2748	0	1
Control	530	2428	0	1
E.coli	530	2391	0	1
Control	530	2938	0	1
E.coli	530	2379	0	1
Control	530	2534	0	1
E.coli	530	2330	0	1
Control	530	3168	0	1
E.coli	530	2746	0	1
Control	530	2546	0	1
E.coli	530	2934	0	1
Control	530	2724	0	1
E.coli	530	2659	0	1
Control	530	3113	0	1
E.coli	530	2236	0	1
Control	530	2561	0	1
E.coli	530	3025	0	1
Control	530	2810	0	1
E.coli	530	2881	0	1
Control	530	2649	0	1
E.coli	530	2503	0	1
Control	530	2567	0	1
E.coli	530	3524	0	1
Control	690	16919	0	1
E.coli	690	16372	0	1
Control	690	16882	0	1
E.coli	690	16848	0	1
Control	690	20824	0	1
E.coli	690	16545	0	1
Control	690	17869	0	1
E.coli	690	16925	0	1
Control	690	23403	0	1
E.coli	690	15996	0	1
Control	690	19014	0	1
E.coli	690	21441	0	1
Control	690	17196	0	1
E.coli	690	18574	0	1
Control	690	18166	0	1
E.coli	690	13288	0	1
Control	690	16611	0	1
E.coli	690	15915	0	1
Control	690	18077	0	1
E.coli	690	16402	0	1
Control	690	16154	0	1
E.coli	690	16448	0	1
Control	690	19457	0	1
E.coli	690	17589	0	1
Control	530	2008	0	1
E.coli	530	1936	0	1
Control	530	1983	0	1
E.coli	530	2060	0	1
Control	530	2444	0	1
E.coli	530	1916	0	1
Control	530	2279	0	1
E.coli	530	2172	0	1
Control	530	2175	0	1
E.coli	530	3693	0	1
Control	530	2120	0	1
E.coli	530	1479	0	1
Control	530	1809	0	1
E.coli	530	2269	0	1
Control	530	2046	0	1
E.coli	530	2043	0	1
Control	530	1681	0	1
E.coli	530	2201	0	1
Control	530	2262	0	1
E.coli	530	2251	0	1
Control	530	2402	0	1
E.coli	530	1848	0	1
Control	530	2357	0	1
E.coli	530	2280	0	1
Control	690	18291	0	1
E.coli	690	12330	0	1
Control	690	18367	0	1
E.coli	690	19643	0	1
Control	690	20998	0	1
E.coli	690	17400	0	1
Control	690	19253	0	1
E.coli	690	16545	0	1
Control	690	17027	0	1
E.coli	690	17211	0	1
Control	690	16287	0	1
E.coli	690	15857	0	1
Control	690	15798	0	1
E.coli	690	18374	0	1
Control	690	18869	0	1
E.coli	690	16862	0	1
Control	690	19477	0	1
E.coli	690	15298	0	1
Control	690	20489	0	1
E.coli	690	18870	0	1
Control	690	20549	0	1
E.coli	690	18971	0	1
Control	690	19296	0	1
E.coli	690	18555	0	1
Control	530	1835	0	1
E.coli	530	2369	0	1
Control	530	1827	0	1
E.coli	530	2009	0	1
Control	530	2100	0	1
E.coli	530	2055	0	1
Control	530	2020	0	1
E.coli	530	2235	0	1
Control	530	1988	0	1
E.coli	530	2331	0	1
Control	530	1839	0	1
E.coli	530	2377	0	1
Control	530	2239	0	1
E.coli	530	2204	0	1
Control	530	2170	0	1
E.coli	530	2290	0	1
Control	530	2390	0	1
E.coli	530	2272	0	1
Control	530	2029	0	1
E.coli	530	1855	0	1
Control	530	2116	0	1
E.coli	530	2092	0	1
Control	530	2145	0	1
E.coli	530	2146	0	1
Control	690	16294	0	1
E.coli	690	19181	0	1
Control	690	17567	0	1
E.coli	690	17662	0	1
Control	690	19183	0	1
E.coli	690	17109	0	1
Control	690	19121	0	1
E.coli	690	18260	0	1
Control	690	18582	0	1
E.coli	690	17854	0	1
Control	690	19903	0	1
E.coli	690	18090	0	1
Control	690	20928	0	1
E.coli	690	18090	0	1
Control	690	15122	0	1
E.coli	690	18775	0	1
Control	690	17760	0	1
E.coli	690	19742	0	1
Control	690	18597	0	1
E.coli	690	16097	0	1
Control	690	20227	0	1
E.coli	690	18281	0	1
Control	690	18636	0	1
E.coli	690	18169	0	1
Control	530	2679	0	1
E.coli	530	2404	0	1
Control	530	3531	0	1
E.coli	530	2796	0	1
Control	530	3840	0	1
E.coli	530	2991	0	1
Control	530	2912	0	1
E.coli	530	2742	0	1
Control	530	2984	0	1
E.coli	530	2166	0	1
Control	530	2625	0	1
E.coli	530	2834	0	1
Control	530	2961	0	1
E.coli	530	3353	0	1
Control	530	2463	0	1
E.coli	530	2991	0	1
Control	530	2949	0	1
E.coli	530	2903	0	1
Control	530	3179	0	1
E.coli	530	3384	0	1
Control	530	4134	0	1
E.coli	530	2930	0	1
Control	530	2666	0	1
E.coli	530	3100	0	1
Control	690	18586	0	1
E.coli	690	16774	0	1
Control	690	23346	0	1
E.coli	690	14695	0	1
Control	690	16787	0	1
E.coli	690	19076	0	1
Control	690	18741	0	1
E.coli	690	17328	0	1
Control	690	22023	0	1
E.coli	690	14690	0	1
Control	690	18401	0	1
E.coli	690	17051	0	1
Control	690	20934	0	1
E.coli	690	18308	0	1
Control	690	15040	0	1
E.coli	690	17289	0	1
Control	690	18873	0	1
E.coli	690	15604	0	1
Control	690	20590	0	1
E.coli	690	25884	0	1
Control	690	22210	0	1
E.coli	690	21396	0	1
Control	690	17553	0	1
E.coli	690	19263	0	1
Control	530	2912	2	1.007612457
E.coli	530	2564	2	0.933042213
Control	530	2552	2	1.05107084
E.coli	530	2252	2	0.941865328
Control	530	2643	2	0.899591559
E.coli	530	2304	2	0.968474149
Control	530	2238	2	0.883188635
E.coli	530	2127	2	0.912875536
Control	530	3009	2	0.949810606
E.coli	530	2517	2	0.916605972
Control	530	2342	2	0.919874313
E.coli	530	3018	2	1.028629857
Control	530	2689	2	0.987151248
E.coli	530	2627	2	0.987965401
Control	530	3055	2	0.981368455
E.coli	530	2269	2	1.014758497
Control	530	2559	2	0.999219055
E.coli	530	2803	2	0.92661157
Control	530	2707	2	0.963345196
E.coli	530	2682	2	0.930926762
Control	530	2447	2	0.923744809
E.coli	530	2309	2	0.922493008
Control	530	2650	2	1.032333463
E.coli	530	3256	2	0.923950057
Control	690	15063	2	0.890300845
E.coli	690	15229	2	0.930185683
Control	690	17779	2	1.053133515
E.coli	690	16334	2	0.969491928
Control	690	20238	2	0.971859393
E.coli	690	16726	2	1.010939861
Control	690	14179	2	0.793497118
E.coli	690	17141	2	1.012762186
Control	690	22893	2	0.978207922
E.coli	690	16476	2	1.030007502
Control	690	16198	2	0.851898601
E.coli	690	21368	2	0.996595308
Control	690	15872	2	0.92300535
E.coli	690	18369	2	0.988963067
Control	690	17969	2	0.989155565
E.coli	690	13285	2	0.999774232
Control	690	14826	2	0.892541087
E.coli	690	15813	2	0.993590952
Control	690	17153	2	0.948885324
E.coli	690	14854	2	0.905621266
Control	690	16235	2	1.005014238
E.coli	690	16237	2	0.987171693
Control	690	19340	2	0.99398674
E.coli	690	18768	2	1.06703053
Control	530	1852	2	0.922310757
E.coli	530	1857	2	0.959194215
Control	530	1805	2	0.910237015
E.coli	530	2112	2	1.025242718
Control	530	1985	2	0.812193126
E.coli	530	1968	2	1.027139875
Control	530	2408	2	1.056603774
E.coli	530	1947	2	0.89640884
Control	530	2041	2	0.938390805
E.coli	530	3370	2	0.912537233
Control	530	1985	2	0.936320755
E.coli	530	1414	2	0.956051386
Control	530	1647	2	0.910447761
E.coli	530	2005	2	0.883649185
Control	530	2056	2	1.004887586
E.coli	530	1921	2	0.940283896
Control	530	2069	2	1.230814991
E.coli	530	2041	2	0.92730577
Control	530	2210	2	0.977011494
E.coli	530	2238	2	0.994224789
Control	530	2179	2	0.907160699
E.coli	530	1771	2	0.958333333
Control	530	2104	2	0.892660161
E.coli	530	2199	2	0.964473684
Control	690	18925	2	1.034661856
E.coli	690	12791	2	1.037388483
Control	690	17073	2	0.929547558
E.coli	690	19636	2	0.999643639
Control	690	19061	2	0.907753119
E.coli	690	16261	2	0.93454023
Control	690	20205	2	1.049446839
E.coli	690	15733	2	0.950921729
Control	690	15507	2	0.910730017
E.coli	690	15650	2	0.90930219
Control	690	15205	2	0.933566648
E.coli	690	14469	2	0.91246768
Control	690	14872	2	0.941384985
E.coli	690	16761	2	0.91221291
Control	690	17739	2	0.940113414
E.coli	690	16378	2	0.971296406
Control	690	17824	2	0.915130667
E.coli	690	15210	2	0.994247614
Control	690	20027	2	0.977451315
E.coli	690	16833	2	0.892050874
Control	690	20459	2	0.995620225
E.coli	690	16384	2	0.863633968
Control	690	16913	2	0.876502902
E.coli	690	17969	2	0.968418216
Control	530	1926	2	1.049591281
E.coli	530	2052	2	0.866188265
Control	530	1822	2	0.997263273
E.coli	530	2010	2	1.00049776
